id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread
400869090,California,51,Hawai'i,31,consensus,,-23,California -23
400869090,California,51,Hawai'i,31,teamrankings,66,-21.5,California -21.5
400868977,Tennessee,20,Appalachian State,13,consensus,,-23,Tennessee -23
400868977,Tennessee,20,Appalachian State,13,teamrankings,58,-21.5,Tennessee -21.5
400869341,Louisville,70,Charlotte,14,consensus,,-39.5,Louisville -39.5
400869341,Louisville,70,Charlotte,14,teamrankings,58.5,-38.5,Louisville -38.5
400869257,Central Michigan,49,Presbyterian College,3,consensus,,-33,Central Michigan -33
400869421,Wake Forest,7,Tulane,3,consensus,,-16,Wake Forest -16
400869421,Wake Forest,7,Tulane,3,teamrankings,43,-14,Wake Forest -14
400869502,Cincinnati,28,UT Martin,7,consensus,,-24,Cincinnati -24
400869503,Connecticut,24,Maine,21,consensus,,-27,Connecticut -27
400869422,NC State,48,William & Mary,14,consensus,,-30.5,NC State -30.5
400869342,Florida International,13,Indiana,34,consensus,,3,Indiana -3
400869342,Florida International,13,Indiana,34,teamrankings,64,10,Indiana -10
400868968,Vanderbilt,10,South Carolina,13,consensus,,4,South Carolina -4
400868968,Vanderbilt,10,South Carolina,13,teamrankings,40.5,-5,Vanderbilt -5
400869091,Utah,24,Southern Utah,0,consensus,,-34,Utah -34
400869173,Utah State,45,Weber State,6,consensus,,-21,Utah State -21
400869347,Western Kentucky,46,Rice,14,consensus,,-14.5,Western Kentucky -14.5
400869347,Western Kentucky,46,Rice,14,teamrankings,64.5,-19,Western Kentucky -19
400869092,Minnesota,30,Oregon State,23,consensus,,-7.5,Minnesota -7.5
400869092,Minnesota,30,Oregon State,23,teamrankings,56,-12.5,Minnesota -12.5
400869177,New Mexico,48,South Dakota,21,consensus,,-11,New Mexico -11
400869725,Idaho,20,Montana State,17,consensus,,-7,Idaho -7
400869174,UNLV,63,Jackson State,13,consensus,,-40,UNLV -40
400869094,Stanford,26,Kansas State,13,consensus,,-16.5,Stanford -16.5
400869094,Stanford,26,Kansas State,13,numberfire,49,-12.5,Stanford -12.5
400869094,Stanford,26,Kansas State,13,teamrankings,49,-12,Stanford -12
400869651,Michigan State,28,Furman,13,consensus,,-45,Michigan State -45
400868876,Baylor,55,Northwestern State,7,consensus,,-48.5,Baylor -48.5
400869263,Eastern Michigan,61,Mississippi Valley State,14,consensus,,-46,Eastern Michigan -46
400869258,Georgia State,21,Ball State,31,consensus,,5.5,Ball State -5.5
400869258,Georgia State,21,Ball State,31,numberfire,54.5,-4.5,Georgia State -4.5
400869258,Georgia State,21,Ball State,31,teamrankings,56,-6.5,Georgia State -6.5
400869259,Buffalo,16,Albany,22,consensus,,-23,Buffalo -23
400869423,Syracuse,33,Colgate,7,consensus,,-25.5,Syracuse -25.5
400868910,Temple,13,Army,28,consensus,,-21.5,Temple -21.5
400868910,Temple,13,Army,28,numberfire,45.5,-15.5,Temple -15.5
400868910,Temple,13,Army,28,teamrankings,45,-14.5,Temple -14.5
400869093,Colorado,44,Colorado State,7,consensus,,-10,Colorado -10
400869093,Colorado,44,Colorado State,7,numberfire,56.5,-7,Colorado -7
400869093,Colorado,44,Colorado State,7,teamrankings,56,-7,Colorado -7
400869265,Arkansas State,10,Toledo,31,consensus,,-2.5,Arkansas State -2.5
400869265,Arkansas State,10,Toledo,31,numberfire,65.5,-4,Arkansas State -4
400869265,Arkansas State,10,Toledo,31,teamrankings,64,-4.5,Arkansas State -4.5
400869181,Nevada,30,Cal Poly,27,consensus,,-19,Nevada -19
400868969,Alabama,52,USC,6,consensus,,-9,Alabama -9
400868969,Alabama,52,USC,6,numberfire,51.5,-13,Alabama -13
400868969,Alabama,52,USC,6,teamrankings,51.5,-13.5,Alabama -13.5
400868971,Auburn,13,Clemson,19,consensus,,7.5,Clemson -7.5
400868971,Auburn,13,Clemson,19,numberfire,62.5,9,Clemson -9
400868971,Auburn,13,Clemson,19,teamrankings,62,7.5,Clemson -7.5
400869507,Houston,33,Oklahoma,23,consensus,,10,Oklahoma -10
400869507,Houston,33,Oklahoma,23,numberfire,66.5,13,Oklahoma -13
400869507,Houston,33,Oklahoma,23,teamrankings,65.5,13,Oklahoma -13
400868974,Wisconsin,16,LSU,14,consensus,,9.5,LSU -9.5
400868974,Wisconsin,16,LSU,14,numberfire,44,12.5,LSU -12.5
400868974,Wisconsin,16,LSU,14,teamrankings,43.5,12.5,LSU -12.5
400869260,Ohio State,77,Bowling Green,10,consensus,,-27,Ohio State -27
400869260,Ohio State,77,Bowling Green,10,numberfire,64,-27.5,Ohio State -27.5
400869260,Ohio State,77,Bowling Green,10,teamrankings,64,-27.5,Ohio State -27.5
400869180,Michigan,63,Hawai'i,3,consensus,,-40.5,Michigan -40.5
400869180,Michigan,63,Hawai'i,3,numberfire,54.5,-36.5,Michigan -36.5
400869180,Michigan,63,Hawai'i,3,teamrankings,55,-38,Michigan -38
400869624,TCU,59,South Dakota State,41,consensus,,-39.5,TCU -39.5
400869097,Washington,48,Rutgers,13,consensus,,-22.5,Washington -22.5
400869097,Washington,48,Rutgers,13,numberfire,57,-25,Washington -25
400869097,Washington,48,Rutgers,13,teamrankings,56.5,-25,Washington -25
400868972,North Carolina,24,Georgia,33,consensus,,3.5,Georgia -3.5
400868972,North Carolina,24,Georgia,33,numberfire,59.5,3.5,Georgia -3.5
400868972,North Carolina,24,Georgia,33,teamrankings,60,3.5,Georgia -3.5
400869619,Oklahoma State,61,Southeastern Louisiana,7,consensus,,-48.5,Oklahoma State -48.5
400869096,Oregon,53,UC Davis,28,consensus,,-47,Oregon -47
400868957,Florida,24,UMass,7,consensus,,-37,Florida -37
400868957,Florida,24,UMass,7,numberfire,51,-34.5,Florida -34.5
400868957,Florida,24,UMass,7,teamrankings,51.5,-34.5,Florida -34.5
400869424,Boston College,14,Georgia Tech,17,consensus,,3,Georgia Tech -3
400869424,Boston College,14,Georgia Tech,17,numberfire,43,3.5,Georgia Tech -3.5
400869424,Boston College,14,Georgia Tech,17,teamrankings,42.5,3,Georgia Tech -3
400869509,Navy,52,Fordham,16,consensus,,-24,Navy -24
400869578,Purdue,45,Eastern Kentucky,24,consensus,,-15,Purdue -15
400869267,Northwestern,21,Western Michigan,22,consensus,,-6.5,Northwestern -6.5
400869267,Northwestern,21,Western Michigan,22,numberfire,52.5,-3.5,Northwestern -3.5
400869267,Northwestern,21,Western Michigan,22,teamrankings,53.5,-3.5,Northwestern -3.5
400869176,Louisiana,10,Boise State,45,consensus,,18,Boise State -18
400869176,Louisiana,10,Boise State,45,numberfire,63,19,Boise State -19
400869176,Louisiana,10,Boise State,45,teamrankings,64.5,18.5,Boise State -18.5
400868975,Mississippi State,20,South Alabama,21,consensus,,-34,Mississippi State -34
400868975,Mississippi State,20,South Alabama,21,numberfire,53,-28.5,Mississippi State -28.5
400868975,Mississippi State,20,South Alabama,21,teamrankings,52,-27.5,Mississippi State -27.5
400868976,West Virginia,26,Missouri,11,consensus,,-11.5,West Virginia -11.5
400868976,West Virginia,26,Missouri,11,numberfire,50.5,-10,West Virginia -10
400868976,West Virginia,26,Missouri,11,teamrankings,51.5,-10,West Virginia -10
400869653,Maryland,52,Howard,13,consensus,,-51,Maryland -51
400869428,Virginia Tech,36,Liberty,13,consensus,,-35,Virginia Tech -35
400869426,Pittsburgh,28,Villanova,7,consensus,,-27,Pittsburgh -27
400869175,Air Force,37,Abilene Christian,21,consensus,,-44,Air Force -44
400869427,Virginia,20,Richmond,37,consensus,,-14,Virginia -14
400869261,Penn State,33,Kent State,13,consensus,,-19,Penn State -19
400869261,Penn State,33,Kent State,13,numberfire,43.5,-23.5,Penn State -23.5
400869261,Penn State,33,Kent State,13,teamrankings,44,-24,Penn State -24
400869264,Ohio,54,Texas State,56,consensus,,-19,Ohio -19
400869264,Ohio,54,Texas State,56,numberfire,60,-18,Ohio -18
400869264,Ohio,54,Texas State,56,teamrankings,58.5,-17,Ohio -17
400869652,Illinois,52,Murray State,3,consensus,,-31,Illinois -31
400868970,Arkansas,21,Louisiana Tech,20,consensus,,-20.5,Arkansas -20.5
400868970,Arkansas,21,Louisiana Tech,20,numberfire,52,-21.5,Arkansas -21.5
400868970,Arkansas,21,Louisiana Tech,20,teamrankings,52.5,-21,Arkansas -21
400869343,Florida Atlantic,38,Southern Illinois,30,consensus,,-8,Florida Atlantic -8
400869425,Duke,49,North Carolina Central,6,consensus,,-37,Duke -37
400869505,East Carolina,52,Western Carolina,7,consensus,,-17,East Carolina -17
400869718,Miami,70,Florida A&M,3,consensus,,-59,Miami -59
400869808,Georgia Southern,54,Savannah State,0,consensus,,-53,Georgia Southern -53
400869810,Troy,57,Austin Peay,17,consensus,,-37,Troy -37
400869266,Akron,47,VMI,24,consensus,,-28,Akron -28
400869344,Middle Tennessee,55,Alabama A&M,0,consensus,,-47,Middle Tennessee -47
400869345,North Texas,21,SMU,34,consensus,,12,SMU -12
400869345,North Texas,21,SMU,34,numberfire,67,7,SMU -7
400869345,North Texas,21,SMU,34,teamrankings,68,7,SMU -7
400869183,Tulsa,45,San José State,10,consensus,,-6,Tulsa -6
400869183,Tulsa,45,San José State,10,numberfire,65,-4,Tulsa -4
400869183,Tulsa,45,San José State,10,teamrankings,65,-4,Tulsa -4
400869506,South Florida,56,Towson,20,consensus,,-17,South Florida -17
400869504,UCF,38,South Carolina State,0,consensus,,-27,UCF -27
400869597,Kansas,55,Rhode Island,6,consensus,,-35,Kansas -35
400869262,Iowa,45,Miami (OH),21,consensus,,-32,Iowa -32
400869262,Iowa,45,Miami (OH),21,numberfire,52,-27.5,Iowa -27.5
400869262,Iowa,45,Miami (OH),21,teamrankings,52.5,-27.5,Iowa -27.5
400869809,Louisiana Monroe,38,Southern,21,consensus,,-16,Louisiana Monroe -16
400868973,Kentucky,35,Southern Mississippi,44,consensus,,-7.5,Kentucky -7.5
400868973,Kentucky,35,Southern Mississippi,44,numberfire,62.5,-3.5,Kentucky -3.5
400868973,Kentucky,35,Southern Mississippi,44,teamrankings,62,-3.5,Kentucky -3.5
400868887,Iowa State,20,Northern Iowa,25,consensus,,-11,Iowa State -11
400869179,Nebraska,43,Fresno State,10,consensus,,-29.5,Nebraska -29.5
400869179,Nebraska,43,Fresno State,10,numberfire,62,-29,Nebraska -29
400869179,Nebraska,43,Fresno State,10,teamrankings,62.5,-28.5,Nebraska -28.5
400869098,Washington State,42,Eastern Washington,45,consensus,,-27.5,Washington State -27.5
400869348,UTEP,38,New Mexico State,22,consensus,,-3.5,UTEP -3.5
400869348,UTEP,38,New Mexico State,22,numberfire,58,-9,UTEP -9
400869348,UTEP,38,New Mexico State,22,teamrankings,58,-9.5,UTEP -9.5
400869625,Texas Tech,69,Stephen F. Austin,17,consensus,,-42,Texas Tech -42
400869178,Wyoming,40,Northern Illinois,34,consensus,,10.5,Northern Illinois -10.5
400869178,Wyoming,40,Northern Illinois,34,numberfire,54.5,7,Northern Illinois -7
400869178,Wyoming,40,Northern Illinois,34,teamrankings,54,7,Northern Illinois -7
400869095,Arizona State,44,Northern Arizona,13,consensus,,-26,Arizona State -26
400868946,Texas,50,Notre Dame,47,consensus,,2.5,Notre Dame -2.5
400868946,Texas,50,Notre Dame,47,numberfire,55,3.5,Notre Dame -3.5
400868946,Texas,50,Notre Dame,47,teamrankings,54.5,3.5,Notre Dame -3.5
400869346,Old Dominion,54,Hampton,21,consensus,,-28,Old Dominion -28
400868979,Florida State,45,Ole Miss,34,consensus,,-5,Florida State -5
400868979,Florida State,45,Ole Miss,34,numberfire,58,-4.5,Florida State -4.5
400868979,Florida State,45,Ole Miss,34,teamrankings,57.5,-4,Florida State -4
400869429,Syracuse,28,Louisville,62,consensus,,13,Louisville -13
400869429,Syracuse,28,Louisville,62,numberfire,69.5,17,Louisville -17
400869429,Syracuse,28,Louisville,62,teamrankings,69,17,Louisville -17
400869351,Florida International,14,Maryland,41,consensus,,7,Maryland -7
400869351,Florida International,14,Maryland,41,numberfire,56,11.5,Maryland -11.5
400869351,Florida International,14,Maryland,41,teamrankings,56.5,11.5,Maryland -11.5
400868980,Alabama,38,Western Kentucky,10,consensus,,-24,Alabama -24
400868980,Alabama,38,Western Kentucky,10,numberfire,60,-27,Alabama -27
400868980,Alabama,38,Western Kentucky,10,teamrankings,59,-27,Alabama -27
400869430,Clemson,30,Troy,24,consensus,,-34,Clemson -34
400869430,Clemson,30,Troy,24,numberfire,62,-34.5,Clemson -34.5
400869430,Clemson,30,Troy,24,teamrankings,62,-34.5,Clemson -34.5
400869432,Florida State,52,Charleston Southern,8,consensus,,-59.5,Florida State -59.5
400869516,Ohio State,48,Tulsa,3,consensus,,-28.5,Ohio State -28.5
400869516,Ohio State,48,Tulsa,3,numberfire,72.5,-28.5,Ohio State -28.5
400869516,Ohio State,48,Tulsa,3,teamrankings,72,-28,Ohio State -28
400869510,Michigan,51,UCF,14,consensus,,-34.5,Michigan -34.5
400869510,Michigan,51,UCF,14,numberfire,54,-35.5,Michigan -35.5
400869510,Michigan,51,UCF,14,teamrankings,53.5,-36,Michigan -36
400869514,Houston,42,Lamar,0,consensus,,-48,Houston -48
400869105,Washington,59,Idaho,14,consensus,,-35,Washington -35
400869105,Washington,59,Idaho,14,numberfire,61,-37,Washington -37
400869105,Washington,59,Idaho,14,teamrankings,60,-36.5,Washington -36.5
400868984,Georgia,26,Nicholls,24,consensus,,-49.5,Georgia -49.5
400869268,Wisconsin,54,Akron,10,consensus,,-24,Wisconsin -24
400869268,Wisconsin,54,Akron,10,numberfire,46,-21.5,Wisconsin -21.5
400869268,Wisconsin,54,Akron,10,teamrankings,45.5,-21.5,Wisconsin -21.5
400869357,Texas,41,UTEP,7,consensus,,-26,Texas -26
400869357,Texas,41,UTEP,7,numberfire,59,-31,Texas -31
400869357,Texas,41,UTEP,7,teamrankings,58,-31,Texas -31
400869612,Oklahoma,59,Louisiana Monroe,17,consensus,,-44,Oklahoma -44
400869612,Oklahoma,59,Louisiana Monroe,17,numberfire,64,-46,Oklahoma -46
400869612,Oklahoma,59,Louisiana Monroe,17,teamrankings,63,-46,Oklahoma -46
400868981,TCU,38,Arkansas,41,consensus,,-6,TCU -6
400868981,TCU,38,Arkansas,41,numberfire,58,-10,TCU -10
400868981,TCU,38,Arkansas,41,teamrankings,57.5,-10.5,TCU -10.5
400868888,Iowa,42,Iowa State,3,consensus,,-18,Iowa -18
400868888,Iowa,42,Iowa State,3,numberfire,50,-15.5,Iowa -15.5
400868888,Iowa,42,Iowa State,3,teamrankings,49,-15.5,Iowa -15.5
400868989,Tennessee,45,Virginia Tech,24,consensus,,-9,Tennessee -9
400868989,Tennessee,45,Virginia Tech,24,numberfire,52.5,-11,Tennessee -11
400868989,Tennessee,45,Virginia Tech,24,teamrankings,52.5,-11,Tennessee -11
400868947,Notre Dame,39,Nevada,10,consensus,,-26,Notre Dame -26
400868947,Notre Dame,39,Nevada,10,numberfire,62,-28,Notre Dame -28
400868947,Notre Dame,39,Nevada,10,teamrankings,62,-27.5,Notre Dame -27.5
400868986,Ole Miss,38,Wofford,13,consensus,,-44.5,Ole Miss -44.5
400868990,Texas A&M,67,Prairie View,0,consensus,,-49.5,Texas A&M -49.5
400868985,LSU,34,Jacksonville State,13,consensus,,-30,LSU -30
400869270,Oklahoma State,27,Central Michigan,30,consensus,,-19,Oklahoma State -19
400869270,Oklahoma State,27,Central Michigan,30,numberfire,60,-17.5,Oklahoma State -17.5
400869270,Oklahoma State,27,Central Michigan,30,teamrankings,58.5,-17.5,Oklahoma State -17.5
400868877,Baylor,40,SMU,13,consensus,,-28.5,Baylor -28.5
400868877,Baylor,40,SMU,13,numberfire,73,-33,Baylor -33
400868877,Baylor,40,SMU,13,teamrankings,72,-34.5,Baylor -34.5
400869104,Oregon,44,Virginia,26,consensus,,-20.5,Oregon -20.5
400869104,Oregon,44,Virginia,26,numberfire,70.5,-24,Oregon -24
400869104,Oregon,44,Virginia,26,teamrankings,71.5,-24,Oregon -24
400869719,Miami,38,Florida Atlantic,10,consensus,,-23,Miami -23
400869719,Miami,38,Florida Atlantic,10,numberfire,63,-25.5,Miami -25.5
400869719,Miami,38,Florida Atlantic,10,teamrankings,63,-25,Miami -25
400869435,East Carolina,33,NC State,30,consensus,,3.5,NC State -3.5
400869435,East Carolina,33,NC State,30,numberfire,58,6.5,NC State -6.5
400869435,East Carolina,33,NC State,30,teamrankings,59,6,NC State -6
400869436,Pittsburgh,42,Penn State,39,consensus,,-4.5,Pittsburgh -4.5
400869436,Pittsburgh,42,Penn State,39,numberfire,45.5,-3.5,Pittsburgh -3.5
400869436,Pittsburgh,42,Penn State,39,teamrankings,44,-3.5,Pittsburgh -3.5
400869511,Purdue,20,Cincinnati,38,consensus,,7,Cincinnati -7
400869511,Purdue,20,Cincinnati,38,numberfire,57.5,4,Cincinnati -4
400869511,Purdue,20,Cincinnati,38,teamrankings,57.5,3,Cincinnati -3
400869633,Rutgers,52,Howard,14,consensus,,-42,Rutgers -42
400869654,Minnesota,58,Indiana State,28,consensus,,-44.5,Minnesota -44.5
400868911,Army,31,Rice,14,consensus,,-7,Army -7
400868911,Army,31,Rice,14,numberfire,52.5,-9,Army -9
400868911,Army,31,Rice,14,teamrankings,52,-8.5,Army -8.5
400868958,UMass,7,Boston College,26,consensus,,16.5,Boston College -16.5
400868958,UMass,7,Boston College,26,numberfire,37.5,17,Boston College -17
400868958,UMass,7,Boston College,26,teamrankings,37.5,15.5,Boston College -15.5
400869187,Nebraska,52,Wyoming,17,consensus,,-24,Nebraska -24
400869187,Nebraska,52,Wyoming,17,numberfire,57,-25,Nebraska -25
400869187,Nebraska,52,Wyoming,17,teamrankings,56,-25.5,Nebraska -25.5
400869513,Temple,38,Stony Brook,0,consensus,,-22,Temple -22
400869182,San Diego State,31,New Hampshire,0,consensus,,-34,San Diego State -34
400869349,UT San Antonio,26,Alabama State,13,consensus,,-28.5,UT San Antonio -28.5
400869626,West Virginia,38,Youngstown State,21,consensus,,-25.5,West Virginia -25.5
400869277,Kansas,21,Ohio,37,consensus,,9,Ohio -9
400869277,Kansas,21,Ohio,37,numberfire,61,-3,Kansas -3
400869277,Kansas,21,Ohio,37,teamrankings,61,-3,Kansas -3
400869276,Bowling Green,27,North Dakota,26,consensus,,-20,Bowling Green -20
400869512,Navy,28,Connecticut,24,consensus,,-7.5,Navy -7.5
400869512,Navy,28,Connecticut,24,numberfire,44,-5,Navy -5
400869512,Navy,28,Connecticut,24,teamrankings,43.5,-3.5,Navy -3.5
400869655,Northwestern,7,Illinois State,9,consensus,,-12.5,Northwestern -12.5
400869431,Duke,14,Wake Forest,24,consensus,,-8.5,Duke -8.5
400869431,Duke,14,Wake Forest,24,numberfire,45,-6.5,Duke -6.5
400869431,Duke,14,Wake Forest,24,teamrankings,45.5,-6.5,Duke -6.5
400869355,Appalachian State,31,Old Dominion,7,numberfire,54,-21,Appalachian State -21
400869355,Appalachian State,31,Old Dominion,7,teamrankings,54,-21,Appalachian State -21
400868983,Florida,45,Kentucky,7,consensus,,-16.5,Florida -16.5
400868983,Florida,45,Kentucky,7,numberfire,49,-14,Florida -14
400868983,Florida,45,Kentucky,7,teamrankings,48.5,-14,Florida -14
400869269,Indiana,30,Ball State,20,consensus,,-17.5,Indiana -17.5
400869269,Indiana,30,Ball State,20,numberfire,62,-16.5,Indiana -16.5
400869269,Indiana,30,Ball State,20,teamrankings,63.5,-16.5,Indiana -16.5
400869185,Colorado State,23,UT San Antonio,14,consensus,,-10,Colorado State -10
400869185,Colorado State,23,UT San Antonio,14,numberfire,52,-9,Colorado State -9
400869185,Colorado State,23,UT San Antonio,14,teamrankings,51.5,-8.5,Colorado State -8.5
400868991,Vanderbilt,47,Middle Tennessee,24,consensus,,-5,Vanderbilt -5
400868991,Vanderbilt,47,Middle Tennessee,24,numberfire,51,-3,Vanderbilt -3
