id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread
332412579,South Carolina,27,North Carolina,10,consensus,,-11.5,South Carolina -11.5
332412579,South Carolina,27,North Carolina,10,numberfire,56,-11,South Carolina -11
332412579,South Carolina,27,North Carolina,10,teamrankings,56,-11,South Carolina -11
332410062,Hawai'i,13,USC,30,consensus,,21.5,USC -21.5
332410062,Hawai'i,13,USC,30,numberfire,51.5,23.5,USC -23.5
332410062,Hawai'i,13,USC,30,teamrankings,52,23.5,USC -23.5
332412309,Kent State,17,Liberty,10,consensus,,2,Liberty -2
332410154,Wake Forest,31,Presbyterian College,7,consensus,,-30,Wake Forest -30
332410189,Bowling Green,34,Tulsa,7,consensus,,3,Tulsa -3
332410189,Bowling Green,34,Tulsa,7,numberfire,50,-2.5,Bowling Green -2.5
332410189,Bowling Green,34,Tulsa,7,teamrankings,50.5,-3,Bowling Green -3
332410084,Indiana,73,Indiana State,35,consensus,,-30.5,Indiana -30.5
332410135,Minnesota,51,UNLV,23,consensus,,-17,Minnesota -17
332410135,Minnesota,51,UNLV,23,numberfire,52.5,-13.5,Minnesota -13.5
332410135,Minnesota,51,UNLV,23,teamrankings,52,-13.5,Minnesota -13.5
332412050,Ball State,51,Illinois State,28,consensus,,-30.5,Ball State -30.5
332412116,UCF,38,Akron,7,consensus,,-28,UCF -28
332412116,UCF,38,Akron,7,numberfire,55.5,-23.5,UCF -23.5
332412116,UCF,38,Akron,7,teamrankings,55.5,-24,UCF -24
332412393,Middle Tennessee,45,Western Carolina,24,consensus,,-12,Middle Tennessee -12
332410006,South Alabama,21,Southern Utah,22,consensus,,-41,South Alabama -41
332410041,Connecticut,18,Towson,33,consensus,,-20,Connecticut -20
332412655,Tulane,34,Jackson State,7,consensus,,-15,Tulane -15
332410254,Utah,30,Utah State,26,consensus,,-4.5,Utah -4.5
332410254,Utah,30,Utah State,26,numberfire,52.5,-1,Utah -1
332410254,Utah,30,Utah State,26,teamrankings,52,-2,Utah -2
332410238,Vanderbilt,35,Ole Miss,39,consensus,,-1.5,Vanderbilt -1.5
332410238,Vanderbilt,35,Ole Miss,39,numberfire,52,3,Ole Miss -3
332410238,Vanderbilt,35,Ole Miss,39,teamrankings,52,3,Ole Miss -3
332410023,San José State,24,Sacramento State,0,consensus,,-33,San José State -33
332410278,Fresno State,52,Rutgers,51,consensus,,-8.5,Fresno State -8.5
332410278,Fresno State,52,Rutgers,51,numberfire,54.5,-10.5,Fresno State -10.5
332410278,Fresno State,52,Rutgers,51,teamrankings,54.5,-10,Fresno State -10
332420349,Army,28,Morgan State,12,consensus,,-31,Army -31
332422247,Georgia State,21,Samford,31,consensus,,7,Samford -7
332420127,Michigan State,26,Western Michigan,13,consensus,,-24,Michigan State -24
332420127,Michigan State,26,Western Michigan,13,numberfire,44.5,-28,Michigan State -28
332420127,Michigan State,26,Western Michigan,13,teamrankings,44,-27.5,Michigan State -27.5
332422390,Miami,34,Florida Atlantic,6,consensus,,-31,Miami -31
332422390,Miami,34,Florida Atlantic,6,numberfire,54,-31,Miami -31
332422390,Miami,34,Florida Atlantic,6,teamrankings,54.5,-31,Miami -31
332422567,SMU,23,Texas Tech,41,consensus,,2.5,Texas Tech -2.5
332422567,SMU,23,Texas Tech,41,numberfire,59.5,4.5,Texas Tech -4.5
332422567,SMU,23,Texas Tech,41,teamrankings,59.5,4,Texas Tech -4
332420248,Houston,62,Southern,13,consensus,,-38.5,Houston -38.5
332422306,Kansas State,21,North Dakota State,24,consensus,,-14.5,Kansas State -14.5
332420012,Arizona,35,Northern Arizona,0,consensus,,-35,Arizona -35
332430259,Virginia Tech,10,Alabama,35,consensus,,18.5,Alabama -18.5
332430259,Virginia Tech,10,Alabama,35,numberfire,44.5,21.5,Alabama -21.5
332430259,Virginia Tech,10,Alabama,35,teamrankings,45,21.5,Alabama -21.5
332430194,Ohio State,40,Buffalo,20,consensus,,-33.5,Ohio State -33.5
332430194,Ohio State,40,Buffalo,20,numberfire,56,-33.5,Ohio State -33.5
332430194,Ohio State,40,Buffalo,20,teamrankings,55.5,-34,Ohio State -34
332432483,Oregon,66,Nicholls,3,consensus,,-58.5,Oregon -58.5
332430228,Clemson,38,Georgia,35,consensus,,-2,Clemson -2
332430228,Clemson,38,Georgia,35,numberfire,71,1.5,Georgia -1.5
332430228,Clemson,38,Georgia,35,teamrankings,70.5,1.5,Georgia -1.5
332430245,Texas A&M,52,Rice,31,consensus,,-28,Texas A&M -28
332430245,Texas A&M,52,Rice,31,numberfire,69.5,-28,Texas A&M -28
332430245,Texas A&M,52,Rice,31,teamrankings,69,-28,Texas A&M -28
332430057,Florida,24,Toledo,6,consensus,,-21,Florida -21
332430057,Florida,24,Toledo,6,numberfire,55,-22,Florida -22
332430057,Florida,24,Toledo,6,teamrankings,55.5,-23.5,Florida -23.5
332432628,TCU,27,LSU,37,consensus,,5,LSU -5
332432628,TCU,27,LSU,37,numberfire,47.5,4,LSU -4
332432628,TCU,27,LSU,37,teamrankings,47.5,4,LSU -4
332430197,Oklahoma State,21,Mississippi State,3,consensus,,-13,Oklahoma State -13
332430197,Oklahoma State,21,Mississippi State,3,numberfire,63,-12.5,Oklahoma State -12.5
332430197,Oklahoma State,21,Mississippi State,3,teamrankings,63,-12,Oklahoma State -12
332430087,Notre Dame,28,Temple,6,consensus,,-24.5,Notre Dame -24.5
332430087,Notre Dame,28,Temple,6,numberfire,52.5,-27.5,Notre Dame -27.5
332430087,Notre Dame,28,Temple,6,teamrankings,53,-27.5,Notre Dame -27.5
332430251,Texas,56,New Mexico State,7,consensus,,-42,Texas -42
332430251,Texas,56,New Mexico State,7,numberfire,53.5,-43.5,Texas -43.5
332430251,Texas,56,New Mexico State,7,teamrankings,54,-44.5,Texas -44.5
332430201,Oklahoma,34,Louisiana Monroe,0,consensus,,-23,Oklahoma -23
332430201,Oklahoma,34,Louisiana Monroe,0,numberfire,60.5,-22.5,Oklahoma -22.5
