id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread
401022510,Colorado State,34,Hawai'i,43,Caesars,57.5,-17.5,Colorado State -17.5
401022510,Colorado State,34,Hawai'i,43,consensus,57.5,-17,Colorado State -17
401022510,Colorado State,34,Hawai'i,43,numberfire,58.5,-17,Colorado State -17
401022510,Colorado State,34,Hawai'i,43,teamrankings,58,-17,Colorado State -17
401013437,New Mexico State,7,Wyoming,29,numberfire,47,5,Wyoming -5
401013437,New Mexico State,7,Wyoming,29,teamrankings,47,5,Wyoming -5
401020671,Ball State,42,Central Connecticut,6,consensus,61.5,-19.5,Ball State -19.5
401019470,Connecticut,17,UCF,56,Caesars,,22.5,UCF -22.5
401019470,Connecticut,17,UCF,56,consensus,,22.5,UCF -22.5
401019470,Connecticut,17,UCF,56,numberfire,70,24,UCF -24
401019470,Connecticut,17,UCF,56,teamrankings,70,24,UCF -24
401013328,Minnesota,48,New Mexico State,10,numberfire,47,-21.5,Minnesota -21.5
401013328,Minnesota,48,New Mexico State,10,teamrankings,49,-21.5,Minnesota -21.5
401014979,UAB,52,Savannah State,0,consensus,54.5,-39,UAB -39
401012675,Utah,41,Weber State,10,consensus,49.5,-30.5,Utah -30.5
401013489,Oklahoma State,58,Missouri State,17,consensus,73,-46,Oklahoma State -46
401021655,Louisiana Monroe,34,Southeastern Louisiana,31,consensus,74,-21,Louisiana Monroe -21
401013086,Tulane,17,Wake Forest,23,Caesars,56,7.5,Wake Forest -7.5
401013086,Tulane,17,Wake Forest,23,consensus,56,7.5,Wake Forest -7.5
401013086,Tulane,17,Wake Forest,23,numberfire,56,7,Wake Forest -7
401013086,Tulane,17,Wake Forest,23,teamrankings,56.5,7,Wake Forest -7
401013342,Purdue,27,Northwestern,31,Caesars,50.5,-1,Purdue -1
401013342,Purdue,27,Northwestern,31,consensus,51,-1,Purdue -1
401013342,Purdue,27,Northwestern,31,numberfire,52.5,-1,Purdue -1
401013342,Purdue,27,Northwestern,31,teamrankings,52.5,-1,Purdue -1
401012258,Texas A&M,59,Northwestern State,7,consensus,63.5,-47,Texas A&M -47
401013089,Duke,34,Army,14,Caesars,46,-14,Duke -14
401013089,Duke,34,Army,14,consensus,45.5,-14,Duke -14
401013089,Duke,34,Army,14,numberfire,45.5,-13.5,Duke -13.5
401013089,Duke,34,Army,14,teamrankings,46.5,-14,Duke -14
401020673,Western Michigan,42,Syracuse,55,Caesars,66.5,5,Syracuse -5
401020673,Western Michigan,42,Syracuse,55,consensus,66.5,5,Syracuse -5
401020673,Western Michigan,42,Syracuse,55,numberfire,66,5,Syracuse -5
401020673,Western Michigan,42,Syracuse,55,teamrankings,65.5,5,Syracuse -5
401014972,Rice,31,Prairie View,28,consensus,58.5,-22.5,Rice -22.5
401012880,Michigan State,38,Utah State,31,Caesars,52.5,-23.5,Michigan State -23.5
401012880,Michigan State,38,Utah State,31,consensus,52.5,-23.5,Michigan State -23.5
401012880,Michigan State,38,Utah State,31,numberfire,52,-23.5,Michigan State -23.5
401012880,Michigan State,38,Utah State,31,teamrankings,52.5,-23.5,Michigan State -23.5
401022512,Stanford,31,San Diego State,10,Caesars,49.5,-14,Stanford -14
401022512,Stanford,31,San Diego State,10,consensus,49.5,-14,Stanford -14
401022512,Stanford,31,San Diego State,10,numberfire,49.5,-13.5,Stanford -13.5
401022512,Stanford,31,San Diego State,10,teamrankings,49.5,-13.5,Stanford -13.5
401013354,Wisconsin,34,Western Kentucky,3,Caesars,51.5,-36,Wisconsin -36
401013354,Wisconsin,34,Western Kentucky,3,consensus,52,-36,Wisconsin -36
401013354,Wisconsin,34,Western Kentucky,3,numberfire,52,-36.5,Wisconsin -36.5
401013354,Wisconsin,34,Western Kentucky,3,teamrankings,52,-36.5,Wisconsin -36.5
401022517,Nevada,72,Portland State,19,consensus,71,-28,Nevada -28
401012680,Colorado State,13,Colorado,45,Caesars,66,7,Colorado -7
401012680,Colorado State,13,Colorado,45,consensus,65.5,-7,Colorado State -7
401012680,Colorado State,13,Colorado,45,numberfire,66,7,Colorado -7
401012680,Colorado State,13,Colorado,45,teamrankings,65.5,7,Colorado -7
401012256,South Carolina,49,Coastal Carolina,15,Caesars,57,-31,South Carolina -31
401012256,South Carolina,49,Coastal Carolina,15,consensus,57,-30.5,South Carolina -30.5
401012256,South Carolina,49,Coastal Carolina,15,numberfire,55.5,-30.5,South Carolina -30.5
401012256,South Carolina,49,Coastal Carolina,15,teamrankings,55.5,-31,South Carolina -31
401019473,Temple,17,Villanova,19,consensus,38.5,-15,Temple -15
401013091,NC State,24,James Madison,13,consensus,56.5,-14.5,NC State -14.5
401012820,Rutgers,35,Texas State,7,Caesars,47,-16.5,Rutgers -16.5
401012820,Rutgers,35,Texas State,7,consensus,47,-16.5,Rutgers -16.5
401012820,Rutgers,35,Texas State,7,numberfire,48,-16.5,Rutgers -16.5
401012820,Rutgers,35,Texas State,7,teamrankings,48,-16.5,Rutgers -16.5
401013065,Oklahoma,63,Florida Atlantic,14,Caesars,71.5,-19,Oklahoma -19
401013065,Oklahoma,63,Florida Atlantic,14,consensus,72,-19,Oklahoma -19
401013065,Oklahoma,63,Florida Atlantic,14,numberfire,69,-19,Oklahoma -19
401013065,Oklahoma,63,Florida Atlantic,14,teamrankings,67,-18.5,Oklahoma -18.5
401013088,Clemson,48,Furman,7,consensus,58.5,-50.5,Clemson -50.5
401013072,TCU,55,Southern,7,consensus,57.5,-49,TCU -49
401012804,Illinois,31,Kent State,24,Caesars,55.5,-18.5,Illinois -18.5
401012804,Illinois,31,Kent State,24,consensus,55.5,-18,Illinois -18
401012804,Illinois,31,Kent State,24,numberfire,58,-18,Illinois -18
401012804,Illinois,31,Kent State,24,teamrankings,57.5,-18,Illinois -18
401013090,Georgia Tech,41,Alcorn State,0,consensus,58.5,-43,Georgia Tech -43
401014977,Rice,27,Houston,45,Caesars,55.5,26,Houston -26
401014977,Rice,27,Houston,45,consensus,55.5,26,Houston -26
401014977,Rice,27,Houston,45,numberfire,56,26,Houston -26
401014977,Rice,27,Houston,45,teamrankings,55.5,25.5,Houston -25.5
401012253,Texas Tech,27,Ole Miss,47,Caesars,67,2.5,Ole Miss -2.5
401012253,Texas Tech,27,Ole Miss,47,consensus,67,1.5,Ole Miss -1.5
401012253,Texas Tech,27,Ole Miss,47,numberfire,71.5,2,Ole Miss -2
401012253,Texas Tech,27,Ole Miss,47,teamrankings,71.5,2.5,Ole Miss -2.5
401013087,Boston College,55,UMass,21,Caesars,62.5,-20.5,Boston College -20.5
401013087,Boston College,55,UMass,21,consensus,63,-20.5,Boston College -20.5
401013087,Boston College,55,UMass,21,numberfire,62.5,-20,Boston College -20
401013087,Boston College,55,UMass,21,teamrankings,62.5,-20.5,Boston College -20.5
401012682,Ohio State,77,Oregon State,31,Caesars,63.5,-40,Ohio State -40
401012682,Ohio State,77,Oregon State,31,consensus,63.5,-40,Ohio State -40
401012682,Ohio State,77,Oregon State,31,numberfire,63,-40,Ohio State -40
401012682,Ohio State,77,Oregon State,31,teamrankings,62,-40,Ohio State -40
401012872,Maryland,34,Texas,29,Caesars,54,13,Texas -13
401012872,Maryland,34,Texas,29,consensus,54,13,Texas -13
401012872,Maryland,34,Texas,29,numberfire,54.5,12,Texas -12
401012872,Maryland,34,Texas,29,teamrankings,54,12.5,Texas -12.5
401020675,Ohio,38,Howard,32,consensus,62,-31,Ohio -31
401022514,Air Force,38,Stony Brook,0,consensus,57.5,-14.5,Air Force -14.5
401013092,Pittsburgh,33,Albany,7,consensus,43.5,-27,Pittsburgh -27
401012250,Georgia,45,Austin Peay,0,Caesars,,-44,Georgia -44
401012250,Georgia,45,Austin Peay,0,consensus,59.5,-48,Georgia -48
401012862,Iowa,33,Northern Illinois,7,Caesars,47,-10,Iowa -10
401012862,Iowa,33,Northern Illinois,7,consensus,46.5,-9.5,Iowa -9.5
401012862,Iowa,33,Northern Illinois,7,numberfire,46.5,-8,Iowa -8
401012862,Iowa,33,Northern Illinois,7,teamrankings,46,-9.5,Iowa -9.5
401012251,Kentucky,35,Central Michigan,20,numberfire,49,-17.5,Kentucky -17.5
401012251,Kentucky,35,Central Michigan,20,teamrankings,49,-17.5,Kentucky -17.5
401012248,Auburn,21,Washington,16,Caesars,48.5,-1,Auburn -1
401012248,Auburn,21,Washington,16,consensus,49,-1,Auburn -1
401012248,Auburn,21,Washington,16,numberfire,50.5,-2.5,Auburn -2.5
401012248,Auburn,21,Washington,16,teamrankings,50.5,-1.5,Auburn -1.5
401012255,Missouri,51,UT Martin,14,consensus,57,-35,Missouri -35
401012683,Wyoming,19,Washington State,41,Caesars,45,3,Washington State -3
401012683,Wyoming,19,Washington State,41,consensus,45,3,Washington State -3
401012683,Wyoming,19,Washington State,41,numberfire,44,3,Washington State -3
401012683,Wyoming,19,Washington State,41,teamrankings,45.5,3.5,Washington State -3.5
401012678,USC,43,UNLV,21,Caesars,63.5,-25.5,USC -25.5
401012678,USC,43,UNLV,21,consensus,63.5,-25,USC -25
401012678,USC,43,UNLV,21,numberfire,61,-24,USC -24
401012678,USC,43,UNLV,21,teamrankings,58.5,-24,USC -24
401012247,Arkansas,55,Eastern Illinois,20,Caesars,,-34,Arkansas -34
401012247,Arkansas,55,Eastern Illinois,20,consensus,58.5,-35,Arkansas -35
401012684,California,24,North Carolina,17,Caesars,59,-7,California -7
401012684,California,24,North Carolina,17,consensus,60,-7,California -7
401012684,California,24,North Carolina,17,numberfire,58,-7,California -7
401012684,California,24,North Carolina,17,teamrankings,57.5,-7,California -7
401012257,Tennessee,14,West Virginia,40,Caesars,61.5,10,West Virginia -10
401012257,Tennessee,14,West Virginia,40,consensus,61,10,West Virginia -10
401012257,Tennessee,14,West Virginia,40,numberfire,60.5,9.5,West Virginia -9.5
401012257,Tennessee,14,West Virginia,40,teamrankings,59.5,10,West Virginia -10
401012782,Oregon,42,UCLA,21,Caesars,60,-11,Oregon -11
401012782,Oregon,42,UCLA,21,consensus,60,-10.5,Oregon -10.5
401012782,Oregon,42,UCLA,21,numberfire,58.5,-9.5,Oregon -9.5
401012782,Oregon,42,UCLA,21,teamrankings,59.5,-10.5,Oregon -10.5
401012334,Georgia,27,Auburn,10,Caesars,53,-14,Georgia -14
401012334,Georgia,27,Auburn,10,consensus,52.5,-13,Georgia -13
401012334,Georgia,27,Auburn,10,numberfire,52.5,-13,Georgia -13
401012334,Georgia,27,Auburn,10,teamrankings,52.5,-12.5,Georgia -12.5
401019531,UCF,38,Cincinnati,13,numberfire,60.5,-7,UCF -7
401019531,UCF,38,Cincinnati,13,teamrankings,60,-7.5,UCF -7.5
401012327,LSU,0,Alabama,29,Caesars,51.5,14,Alabama -14
401012327,LSU,0,Alabama,29,consensus,51.5,14,Alabama -14
401012327,LSU,0,Alabama,29,numberfire,51.5,14,Alabama -14
401012327,LSU,0,Alabama,29,teamrankings,51.5,14,Alabama -14
401020672,Eastern Michigan,51,Monmouth,17,consensus,60.5,-23.5,Eastern Michigan -23.5
401021653,Georgia Southern,37,South Carolina State,6,consensus,46.5,-28,Georgia Southern -28
401019472,South Florida,34,Elon,14,consensus,56.5,-27,South Florida -27
401019522,SMU,45,Houston,31,Caesars,71,14,Houston -14
401019522,SMU,45,Houston,31,consensus,71,14,Houston -14
401019522,SMU,45,Houston,31,numberfire,71,14,Houston -14
401019522,SMU,45,Houston,31,teamrankings,71,14,Houston -14
401012332,Arkansas,17,LSU,24,Caesars,49.5,13,LSU -13
401012332,Arkansas,17,LSU,24,consensus,49.5,12.5,LSU -12.5
401012332,Arkansas,17,LSU,24,numberfire,49.5,12.5,LSU -12.5
401012332,Arkansas,17,LSU,24,teamrankings,49.5,12.5,LSU -12.5
401022563,Fresno State,23,San Diego State,14,Caesars,42,-13,Fresno State -13
401022563,Fresno State,23,San Diego State,14,consensus,42,-10.5,Fresno State -10.5
401022563,Fresno State,23,San Diego State,14,numberfire,42.5,-13,Fresno State -13
401022563,Fresno State,23,San Diego State,14,teamrankings,42.5,-13,Fresno State -13
401013349,Penn State,45,Appalachian State,38,Caesars,54,-25.5,Penn State -25.5
401013349,Penn State,45,Appalachian State,38,consensus,54,-24.5,Penn State -24.5
401013349,Penn State,45,Appalachian State,38,numberfire,53.5,-24,Penn State -24
401013349,Penn State,45,Appalachian State,38,teamrankings,54,-24,Penn State -24
401021656,Troy,20,Boise State,56,Caesars,48,8.5,Boise State -8.5
401021656,Troy,20,Boise State,56,consensus,48,9.5,Boise State -9.5
401021656,Troy,20,Boise State,56,numberfire,48,9.5,Boise State -9.5
401021656,Troy,20,Boise State,56,teamrankings,48.5,9,Boise State -9
401014975,Miami (OH),28,Marshall,35,Caesars,51,-1.5,Miami (OH) -1.5
401014975,Miami (OH),28,Marshall,35,consensus,51,-1.5,Miami (OH) -1.5
401014975,Miami (OH),28,Marshall,35,numberfire,51.5,-1.5,Miami (OH) -1.5
401014975,Miami (OH),28,Marshall,35,teamrankings,51.5,-1,Miami (OH) -1
401013094,Virginia,42,Richmond,13,consensus,55.5,-14.5,Virginia -14.5
401013448,Liberty,52,Old Dominion,10,Caesars,58,5.5,Old Dominion -5.5
401013448,Liberty,52,Old Dominion,10,consensus,58,5,Old Dominion -5
401013448,Liberty,52,Old Dominion,10,numberfire,58,5,Old Dominion -5
401013448,Liberty,52,Old Dominion,10,teamrankings,59,5,Old Dominion -5
401021654,Louisiana,49,Grambling,17,consensus,61,-14,Louisiana -14
401012348,Vanderbilt,36,Ole Miss,29,Caesars,73,-3,Vanderbilt -3
401012348,Vanderbilt,36,Ole Miss,29,consensus,73.5,-3,Vanderbilt -3
