id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread
401234576,Navy,3,BYU,55,Bovada,48.0,1.0,BYU -1.0
401234576,Navy,3,BYU,55,Caesars,48,1.5,BYU -1.5
401234576,Navy,3,BYU,55,consensus,48.5,1,BYU -1
401234576,Navy,3,BYU,55,numberfire,48.5,1.5,BYU -1.5
401234576,Navy,3,BYU,55,teamrankings,48.5,1,BYU -1
401239884,UTEP,24,Stephen F. Austin,14,consensus,54,-4,UTEP -4
401239884,UTEP,24,Stephen F. Austin,14,Bovada,54.0,-4.0,UTEP -4.0
401212553,Memphis,37,Arkansas State,24,Bovada,71.5,-18.5,Memphis -18.5
401212553,Memphis,37,Arkansas State,24,Caesars,72.5,-18.5,Memphis -18.5
401212553,Memphis,37,Arkansas State,24,consensus,72,-18.5,Memphis -18.5
401212553,Memphis,37,Arkansas State,24,numberfire,72.5,-18.5,Memphis -18.5
401212553,Memphis,37,Arkansas State,24,teamrankings,71.5,-18.5,Memphis -18.5
401207098,North Texas,57,Houston Baptist,31,Bovada,74.0,-23.0,North Texas -23.0
401207098,North Texas,57,Houston Baptist,31,consensus,74.5,-23,North Texas -23
401212484,Texas State,24,SMU,31,Bovada,70.0,25.5,SMU -25.5
401212484,Texas State,24,SMU,31,Caesars,70,25,SMU -25
401212484,Texas State,24,SMU,31,consensus,70.5,24.5,SMU -24.5
401212484,Texas State,24,SMU,31,numberfire,69.5,24.5,SMU -24.5
401212484,Texas State,24,SMU,31,teamrankings,70,24.5,SMU -24.5
401235700,Army,42,Middle Tennessee,0,Bovada,54.0,-4.0,Army -4.0
401235700,Army,42,Middle Tennessee,0,Caesars,54.5,-3.5,Army -3.5
401235700,Army,42,Middle Tennessee,0,consensus,54,-3.5,Army -3.5
401235700,Army,42,Middle Tennessee,0,numberfire,53.5,-3.5,Army -3.5
401235700,Army,42,Middle Tennessee,0,teamrankings,53,-3.5,Army -3.5
401237353,Marshall,59,Eastern Kentucky,0,Bovada,55.0,-26.0,Marshall -26.0
401237353,Marshall,59,Eastern Kentucky,0,consensus,55,-25.5,Marshall -25.5
401207101,Southern Mississippi,21,South Alabama,32,Bovada,54.5,-12.0,Southern Mississippi -12.0
401207101,Southern Mississippi,21,South Alabama,32,Caesars,55,-12.5,Southern Mississippi -12.5
401207101,Southern Mississippi,21,South Alabama,32,consensus,54.5,-12.5,Southern Mississippi -12.5
401207101,Southern Mississippi,21,South Alabama,32,numberfire,55.5,-12.5,Southern Mississippi -12.5
401207101,Southern Mississippi,21,South Alabama,32,teamrankings,55,-12.5,Southern Mississippi -12.5
401238035,UAB,45,Central Arkansas,35,Bovada,50.0,-21.0,UAB -21.0
401238035,UAB,45,Central Arkansas,35,consensus,49.5,-21,UAB -21
401236658,Kansas,23,Coastal Carolina,38,Bovada,55.0,-6.5,Kansas -6.5
401236658,Kansas,23,Coastal Carolina,38,Caesars,56,-6,Kansas -6
401236658,Kansas,23,Coastal Carolina,38,consensus,55.5,-6,Kansas -6
401236658,Kansas,23,Coastal Carolina,38,numberfire,55.5,-5.5,Kansas -5.5
401236658,Kansas,23,Coastal Carolina,38,teamrankings,56.5,-5.5,Kansas -5.5
401236039,Texas Tech,35,Houston Baptist,33,consensus,81,-40,Texas Tech -40
401236039,Texas Tech,35,Houston Baptist,33,Bovada,80.0,-40.0,Texas Tech -40.0
401234564,Louisville,35,Western Kentucky,21,Bovada,55.5,-13.5,Louisville -13.5
401234564,Louisville,35,Western Kentucky,21,Caesars,55,-13,Louisville -13
401234564,Louisville,35,Western Kentucky,21,consensus,55,-13,Louisville -13
401234564,Louisville,35,Western Kentucky,21,numberfire,54.5,-13.5,Louisville -13.5
401234564,Louisville,35,Western Kentucky,21,teamrankings,55,-13,Louisville -13
401236222,Texas,59,UTEP,3,Bovada,56.0,-44.0,Texas -44.0
401236222,Texas,59,UTEP,3,Caesars,56,-44,Texas -44
401236222,Texas,59,UTEP,3,consensus,55,-45,Texas -45
401236222,Texas,59,UTEP,3,numberfire,55.5,-44.5,Texas -44.5
401236222,Texas,59,UTEP,3,teamrankings,55,-45,Texas -45
401239973,South Alabama,24,Tulane,27,Bovada,51.5,10.5,Tulane -10.5
401239973,South Alabama,24,Tulane,27,Caesars,51.5,11,Tulane -11
401239973,South Alabama,24,Tulane,27,consensus,51.5,11.5,Tulane -11.5
401239973,South Alabama,24,Tulane,27,numberfire,51.5,11.5,Tulane -11.5
401239973,South Alabama,24,Tulane,27,teamrankings,51.5,11.5,Tulane -11.5
401236041,Oklahoma State,16,Tulsa,7,Caesars,66.5,-24,Oklahoma State -24
401236041,Oklahoma State,16,Tulsa,7,Bovada,67.0,-24.5,Oklahoma State -24.5
401236041,Oklahoma State,16,Tulsa,7,consensus,66.5,-24,Oklahoma State -24
401236041,Oklahoma State,16,Tulsa,7,numberfire,68.5,-24.5,Oklahoma State -24.5
401236041,Oklahoma State,16,Tulsa,7,teamrankings,67,-23.5,Oklahoma State -23.5
401234562,Wake Forest,13,Clemson,37,Bovada,59.0,36.0,Clemson -36.0
401234562,Wake Forest,13,Clemson,37,Caesars,59,34,Clemson -34
401234562,Wake Forest,13,Clemson,37,consensus,58.5,34.5,Clemson -34.5
401234562,Wake Forest,13,Clemson,37,numberfire,58.5,34.5,Clemson -34.5
401234562,Wake Forest,13,Clemson,37,teamrankings,58.5,34.5,Clemson -34.5
401236054,Oklahoma,48,Missouri State,0,Bovada,72.0,-48.0,Oklahoma -48.0
401236054,Oklahoma,48,Missouri State,0,consensus,72,-50.5,Oklahoma -50.5
401240233,Pittsburgh,55,Austin Peay,0,Bovada,49.0,-31.0,Pittsburgh -31.0
401240233,Pittsburgh,55,Austin Peay,0,consensus,48.5,-30.5,Pittsburgh -30.5
401234563,Florida State,13,Georgia Tech,16,consensus,50.5,-12.5,Florida State -12.5
401234563,Florida State,13,Georgia Tech,16,numberfire,49.5,-13.5,Florida State -13.5
401234563,Florida State,13,Georgia Tech,16,teamrankings,49,-13,Florida State -13
401234563,Florida State,13,Georgia Tech,16,Bovada,49.0,-13.5,Florida State -13.5
401215298,Georgia Southern,27,Campbell,26,consensus,58.5,-27.5,Georgia Southern -27.5
401215298,Georgia Southern,27,Campbell,26,Bovada,58.5,-31.0,Georgia Southern -31.0
401207113,Texas State,48,UT San Antonio,51,Caesars,56.5,-6,Texas State -6
401207113,Texas State,48,UT San Antonio,51,consensus,56.5,-6,Texas State -6
401207113,Texas State,48,UT San Antonio,51,numberfire,56.5,-6.5,Texas State -6.5
401207113,Texas State,48,UT San Antonio,51,teamrankings,56.5,-6.5,Texas State -6.5
401207113,Texas State,48,UT San Antonio,51,Bovada,56.5,-6.0,Texas State -6.0
401236053,Kansas State,31,Arkansas State,35,Caesars,55.5,-14.5,Kansas State -14.5
401236053,Kansas State,31,Arkansas State,35,consensus,54.5,-14.5,Kansas State -14.5
401236053,Kansas State,31,Arkansas State,35,numberfire,53.5,-15.5,Kansas State -15.5
401236053,Kansas State,31,Arkansas State,35,teamrankings,56.5,-15,Kansas State -15
401236053,Kansas State,31,Arkansas State,35,Bovada,56.0,-15.5,Kansas State -15.5
401234574,Notre Dame,27,Duke,13,Caesars,51,-21.5,Notre Dame -21.5
401234574,Notre Dame,27,Duke,13,consensus,51,-21.5,Notre Dame -21.5
401234574,Notre Dame,27,Duke,13,numberfire,51.5,-21.5,Notre Dame -21.5
401234574,Notre Dame,27,Duke,13,teamrankings,50.5,-21,Notre Dame -21
401234574,Notre Dame,27,Duke,13,Bovada,51.5,-22.5,Notre Dame -22.5
401240113,Army,37,Louisiana Monroe,7,Caesars,53.5,-24,Army -24
401240113,Army,37,Louisiana Monroe,7,consensus,53.5,-24.5,Army -24.5
401240113,Army,37,Louisiana Monroe,7,numberfire,53.5,-23.5,Army -23.5
401240113,Army,37,Louisiana Monroe,7,teamrankings,53.5,-24,Army -24
401240113,Army,37,Louisiana Monroe,7,Bovada,53.5,-25.0,Army -25.0
401240039,South Florida,27,The Citadel,6,consensus,51.5,-17.5,South Florida -17.5
401240039,South Florida,27,The Citadel,6,Bovada,52.5,-17.5,South Florida -17.5
401236081,Appalachian State,35,Charlotte,20,Caesars,60,-16.5,Appalachian State -16.5
401236081,Appalachian State,35,Charlotte,20,consensus,59.5,-16.5,Appalachian State -16.5
401236081,Appalachian State,35,Charlotte,20,numberfire,59.5,-16.5,Appalachian State -16.5
401236081,Appalachian State,35,Charlotte,20,Bovada,60.0,-17.0,Appalachian State -17.0
401236081,Appalachian State,35,Charlotte,20,teamrankings,59,-17,Appalachian State -17
401236038,West Virginia,56,Eastern Kentucky,10,consensus,58.5,-41,West Virginia -41
401236038,West Virginia,56,Eastern Kentucky,10,Bovada,59.5,-41.0,West Virginia -41.0
401236221,Iowa State,14,Louisiana,31,Caesars,56.5,-13,Iowa State -13
401236221,Iowa State,14,Louisiana,31,consensus,56,-13.5,Iowa State -13.5
401236221,Iowa State,14,Louisiana,31,numberfire,55.5,-12.5,Iowa State -12.5
401236221,Iowa State,14,Louisiana,31,teamrankings,56.5,-13,Iowa State -13
401236221,Iowa State,14,Louisiana,31,Bovada,56.5,-11.0,Iowa State -11.0
401234565,North Carolina,31,Syracuse,6,Caesars,66.5,-23.5,North Carolina -23.5
401234565,North Carolina,31,Syracuse,6,consensus,66.5,-24,North Carolina -24
401234565,North Carolina,31,Syracuse,6,numberfire,66.5,-24.5,North Carolina -24.5
401234565,North Carolina,31,Syracuse,6,teamrankings,67,-24,North Carolina -24
401234565,North Carolina,31,Syracuse,6,Bovada,67.0,-24.5,North Carolina -24.5
401234559,Miami,31,UAB,14,Bovada,55.0,-16.0,Miami -16.0
401234559,Miami,31,UAB,14,Caesars,55,-15.5,Miami -15.5
401234559,Miami,31,UAB,14,consensus,55,-15.5,Miami -15.5
401234559,Miami,31,UAB,14,numberfire,55.5,-16.5,Miami -16.5
401234559,Miami,31,UAB,14,teamrankings,55,-15.5,Miami -15.5
401239885,UTEP,17,Abilene Christian,13,consensus,47.5,-8.5,UTEP -8.5
401215302,Louisiana Monroe,17,Texas State,38,Bovada,58.0,3.5,Texas State -3.5
401215302,Louisiana Monroe,17,Texas State,38,Caesars,58.5,3,Texas State -3
401215302,Louisiana Monroe,17,Texas State,38,consensus,58,3,Texas State -3
401215302,Louisiana Monroe,17,Texas State,38,numberfire,58.5,3.5,Texas State -3.5
401215302,Louisiana Monroe,17,Texas State,38,teamrankings,58,3,Texas State -3
401236939,Marshall,17,Appalachian State,7,Bovada,61.0,6.0,Appalachian State -6.0
401236939,Marshall,17,Appalachian State,7,Caesars,59.5,6,Appalachian State -6
401236939,Marshall,17,Appalachian State,7,consensus,60.5,6,Appalachian State -6
401236939,Marshall,17,Appalachian State,7,numberfire,60.5,4.5,Appalachian State -4.5
401236939,Marshall,17,Appalachian State,7,teamrankings,60.5,6,Appalachian State -6
401207120,North Texas,35,SMU,65,Bovada,72.5,15.0,SMU -15.0
401207120,North Texas,35,SMU,65,Caesars,71.5,14.5,SMU -14.5
401207120,North Texas,35,SMU,65,consensus,71.5,14.5,SMU -14.5
401207120,North Texas,35,SMU,65,numberfire,72.5,14.5,SMU -14.5
401207120,North Texas,35,SMU,65,teamrankings,71.5,15,SMU -15
401241282,Notre Dame,52,South Florida,0,Bovada,49.0,-23.5,Notre Dame -23.5
401241282,Notre Dame,52,South Florida,0,Caesars,49,-23,Notre Dame -23
401241282,Notre Dame,52,South Florida,0,consensus,49,-22.5,Notre Dame -22.5
401241282,Notre Dame,52,South Florida,0,numberfire,48.5,-22.5,Notre Dame -22.5
401241282,Notre Dame,52,South Florida,0,teamrankings,49.5,-23.5,Notre Dame -23.5
401240640,Middle Tennessee,14,Troy,47,Bovada,65.5,2.5,Troy -2.5
401240640,Middle Tennessee,14,Troy,47,Caesars,66,2.5,Troy -2.5
401240640,Middle Tennessee,14,Troy,47,consensus,66,2,Troy -2
401240640,Middle Tennessee,14,Troy,47,numberfire,65.5,2.5,Troy -2.5
401240640,Middle Tennessee,14,Troy,47,teamrankings,70.5,6.5,Troy -6.5
401240126,Coastal Carolina,43,Campbell,21,consensus,60.5,-27.5,Coastal Carolina -27.5
401207106,Southern Mississippi,30,Louisiana Tech,31,Bovada,59.0,-7.0,Southern Mississippi -7.0
401207106,Southern Mississippi,30,Louisiana Tech,31,Caesars,59.5,-7,Southern Mississippi -7
401207106,Southern Mississippi,30,Louisiana Tech,31,consensus,58.5,-7,Southern Mississippi -7
401207106,Southern Mississippi,30,Louisiana Tech,31,numberfire,58.5,-6.5,Southern Mississippi -6.5
