id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread
400548402,South Carolina,28,Texas A&M,52,numberfire,61,-9.5,South Carolina -9.5
400548402,South Carolina,28,Texas A&M,52,teamrankings,61,-9.5,South Carolina -9.5
400548169,Ole Miss,35,Boise State,13,numberfire,52,-9.5,Ole Miss -9.5
400548169,Ole Miss,35,Boise State,13,teamrankings,52,-9.5,Ole Miss -9.5
400548259,Stanford,45,UC Davis,0,consensus,,-47,Stanford -47
400548173,Hawai'i,16,Washington,17,numberfire,56,17,Washington -17
400548173,Hawai'i,16,Washington,17,teamrankings,56,17.5,Washington -17.5
400547808,Pittsburgh,62,Delaware,0,consensus,,-20,Pittsburgh -20
400548255,Arizona State,45,Weber State,14,consensus,,-45.5,Arizona State -45.5
400547829,Louisiana Monroe,17,Wake Forest,10,consensus,,5,Wake Forest -5
400547829,Louisiana Monroe,17,Wake Forest,10,numberfire,44.5,-1.5,Louisiana Monroe -1.5
400547829,Louisiana Monroe,17,Wake Forest,10,teamrankings,44.5,-1.5,Louisiana Monroe -1.5
400548090,Akron,41,Howard,0,consensus,,-21,Akron -21
400548091,Northern Illinois,55,Presbyterian College,3,consensus,,-38,Northern Illinois -38
400548092,Central Michigan,20,Chattanooga,16,consensus,,-11.5,Central Michigan -11.5
400548256,Utah,56,Idaho State,14,consensus,,-41,Utah -41
400548404,New Mexico State,28,Cal Poly,10,consensus,,7,Cal Poly -7
400547647,Tulsa,38,Tulane,31,numberfire,46.5,-4.5,Tulsa -4.5
400547647,Tulsa,38,Tulane,31,teamrankings,46.5,-4.5,Tulsa -4.5
400547993,Washington State,38,Rutgers,41,numberfire,61,-7.5,Washington State -7.5
400547993,Washington State,38,Rutgers,41,teamrankings,61,-7.5,Washington State -7.5
400553383,San José State,42,North Dakota,10,consensus,,-27,San José State -27
400547640,Vanderbilt,7,Temple,37,numberfire,50,-8.5,Vanderbilt -8.5
400547640,Vanderbilt,7,Temple,37,teamrankings,50,-8.5,Vanderbilt -8.5
400547952,Michigan State,45,Jacksonville State,7,consensus,,-27.5,Michigan State -27.5
400547641,Connecticut,10,BYU,35,numberfire,54,15.5,BYU -15.5
400547641,Connecticut,10,BYU,35,teamrankings,54,15.5,BYU -15.5
400547815,Syracuse,27,Villanova,26,consensus,,-14,Syracuse -14
400548003,Western Kentucky,59,Bowling Green,31,consensus,,7.5,Bowling Green -7.5
400548003,Western Kentucky,59,Bowling Green,31,numberfire,63.5,7,Bowling Green -7
400548003,Western Kentucky,59,Bowling Green,31,teamrankings,63.5,7,Bowling Green -7
400548171,Colorado,17,Colorado State,31,consensus,,-3,Colorado -3
400548171,Colorado,17,Colorado State,31,numberfire,56,-2.5,Colorado -2.5
400548171,Colorado,17,Colorado State,31,teamrankings,54,-2.5,Colorado -2.5
400547644,Houston,7,UT San Antonio,27,consensus,,-12.5,Houston -12.5
400547644,Houston,7,UT San Antonio,27,numberfire,56,-9.5,Houston -9.5
400547644,Houston,7,UT San Antonio,27,teamrankings,56,-7.5,Houston -7.5
400548177,Arizona,58,UNLV,13,numberfire,60,-22,Arizona -22
400548177,Arizona,58,UNLV,13,teamrankings,59,-22,Arizona -22
400547762,Oklahoma State,31,Florida State,37,numberfire,65,18,Florida State -18
400547762,Oklahoma State,31,Florida State,37,teamrankings,65,18,Florida State -18
400547835,Alabama,33,West Virginia,23,numberfire,53.5,-22,Alabama -22
400547835,Alabama,33,West Virginia,23,teamrankings,53.5,-22.5,Alabama -22.5
400548257,Oregon,62,South Dakota,13,consensus,,-51,Oregon -51
400547834,Oklahoma,48,Louisiana Tech,16,consensus,,-37.5,Oklahoma -37.5
400547834,Oklahoma,48,Louisiana Tech,16,numberfire,56,-34,Oklahoma -34
400547834,Oklahoma,48,Louisiana Tech,16,teamrankings,56,-34,Oklahoma -34
400547982,Navy,17,Ohio State,34,consensus,,19.5,Ohio State -19.5
400547982,Navy,17,Ohio State,34,numberfire,53.5,13.5,Ohio State -13.5
400547982,Navy,17,Ohio State,34,teamrankings,53.5,13.5,Ohio State -13.5
400548398,Auburn,45,Arkansas,21,consensus,,-21,Auburn -21
400548398,Auburn,45,Arkansas,21,numberfire,55.5,-17.5,Auburn -17.5
400548398,Auburn,45,Arkansas,21,teamrankings,56,-17,Auburn -17
400547820,Virginia,20,UCLA,28,numberfire,50.5,18,UCLA -18
400547820,Virginia,20,UCLA,28,teamrankings,50.5,18,UCLA -18
400547740,Georgia,45,Clemson,21,numberfire,55.5,-10.5,Georgia -10.5
400547740,Georgia,45,Clemson,21,teamrankings,55.5,-9.5,Georgia -9.5
400548000,LSU,28,Wisconsin,24,numberfire,49.5,-3,LSU -3
400548000,LSU,28,Wisconsin,24,teamrankings,49.5,-3,LSU -3
400548172,USC,52,Fresno State,13,numberfire,59,-18.5,USC -18.5
400548172,USC,52,Fresno State,13,teamrankings,58,-18.5,USC -18.5
400548008,Notre Dame,48,Rice,17,numberfire,52.5,-20.5,Notre Dame -20.5
400548008,Notre Dame,48,Rice,17,teamrankings,53,-19,Notre Dame -19
400547839,Kansas State,55,Stephen F. Austin,16,consensus,,-43,Kansas State -43
400547968,Nebraska,55,Florida Atlantic,7,numberfire,51.5,-20.5,Nebraska -20.5
400547968,Nebraska,55,Florida Atlantic,7,teamrankings,52,-20,Nebraska -20
400547795,North Carolina,56,Liberty,29,consensus,,-26,North Carolina -26
400548401,Missouri,38,South Dakota State,18,consensus,,-14,Missouri -14
400547642,UCF,24,Penn State,26,numberfire,44,-2,UCF -2
