id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread
400945031,BYU,20,Portland State,6,consensus,60,,Portland State -null
400938887,UMass,35,Hawai'i,38,consensus,60,,Hawai'i -null
400938887,UMass,35,Hawai'i,38,numberfire,61.5,-2,UMass -2
400938887,UMass,35,Hawai'i,38,teamrankings,60,-3,UMass -3
400935229,Indiana,21,Ohio State,49,consensus,56.5,21,Ohio State -21
400935229,Indiana,21,Ohio State,49,numberfire,56.5,20.5,Ohio State -20.5
400935229,Indiana,21,Ohio State,49,teamrankings,55,20,Ohio State -20
400934493,Oklahoma State,59,Tulsa,24,consensus,71.5,-19.5,Oklahoma State -19.5
400934493,Oklahoma State,59,Tulsa,24,numberfire,74,-17,Oklahoma State -17
400934493,Oklahoma State,59,Tulsa,24,teamrankings,70.5,-19.5,Oklahoma State -19.5
400938591,UCF,61,Florida International,17,consensus,56.5,-17,UCF -17
400938591,UCF,61,Florida International,17,numberfire,56.5,-17.5,UCF -17.5
400938591,UCF,61,Florida International,17,teamrankings,57,-17.5,UCF -17.5
400937445,Wake Forest,51,Presbyterian College,7,consensus,,-42.5,Wake Forest -42.5
400941787,Cincinnati,26,Austin Peay,14,consensus,,-43,Cincinnati -43
400935230,Minnesota,17,Buffalo,7,consensus,51,-23,Minnesota -23
400935230,Minnesota,17,Buffalo,7,numberfire,50.5,-26,Minnesota -26
400935230,Minnesota,17,Buffalo,7,teamrankings,51,-22.5,Minnesota -22.5
400944826,Georgia State,10,Tennessee State,17,consensus,,-15,Georgia State -15
400944889,Toledo,47,Elon,13,consensus,,-44.5,Toledo -44.5
400944890,Central Michigan,30,Rhode Island,27,consensus,,-34.5,Central Michigan -34.5
400941788,Connecticut,27,Holy Cross,20,consensus,,-22.5,Connecticut -22.5
400935248,Utah,37,North Dakota,16,consensus,,-21,Utah -21
400933828,Arkansas,49,Florida A&M,7,consensus,55.5,-47,Arkansas -47
400944827,Idaho,28,Sacramento State,6,consensus,,-23.5,Idaho -23.5
400941789,Memphis,37,Louisiana Monroe,29,consensus,61.5,-27,Memphis -27
400941789,Memphis,37,Louisiana Monroe,29,numberfire,67,-27,Memphis -27
400941789,Memphis,37,Louisiana Monroe,29,teamrankings,61.5,-27.5,Memphis -27.5
400935247,Arizona State,37,New Mexico State,31,consensus,69,-24,Arizona State -24
400935247,Arizona State,37,New Mexico State,31,numberfire,71,-23.5,Arizona State -23.5
400935247,Arizona State,37,New Mexico State,31,teamrankings,69,-26.5,Arizona State -26.5
400935250,Rutgers,14,Washington,30,consensus,54.5,28,Washington -28
400935250,Rutgers,14,Washington,30,numberfire,53.5,28,Washington -28
