id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread
400763398,Minnesota,17,TCU,23,consensus,,16,TCU -16
400763398,Minnesota,17,TCU,23,numberfire,57,15.5,TCU -15.5
400763398,Minnesota,17,TCU,23,teamrankings,57,16.5,TCU -16.5
400756882,Arizona,42,UT San Antonio,32,consensus,,-30.5,Arizona -30.5
400756882,Arizona,42,UT San Antonio,32,numberfire,58.5,-33,Arizona -33
400756882,Arizona,42,UT San Antonio,32,teamrankings,59,-32.5,Arizona -32.5
400603840,South Carolina,17,North Carolina,13,consensus,,-3.5,South Carolina -3.5
400603840,South Carolina,17,North Carolina,13,numberfire,62,-1.5,South Carolina -1.5
400603840,South Carolina,17,North Carolina,13,teamrankings,62,-1,South Carolina -1
400763593,UCF,14,Florida International,15,consensus,,-17,UCF -17
400763593,UCF,14,Florida International,15,numberfire,44.5,-10.5,UCF -10.5
400763593,UCF,14,Florida International,15,teamrankings,44,-10.5,UCF -10.5
400763399,Central Michigan,13,Oklahoma State,24,consensus,,20.5,Oklahoma State -20.5
400763399,Central Michigan,13,Oklahoma State,24,numberfire,57.5,21,Oklahoma State -21
400763399,Central Michigan,13,Oklahoma State,24,teamrankings,58,21,Oklahoma State -21
400603839,Vanderbilt,12,Western Kentucky,14,consensus,,-17.5,Vanderbilt -17.5
400603839,Vanderbilt,12,Western Kentucky,14,numberfire,60,2,Western Kentucky -2
400603839,Vanderbilt,12,Western Kentucky,14,teamrankings,60,2.5,Western Kentucky -2.5
400756883,Utah,24,Michigan,17,consensus,,-3,Utah -3
400756883,Utah,24,Michigan,17,numberfire,44.5,-5,Utah -5
400756883,Utah,24,Michigan,17,teamrankings,45,-5,Utah -5
400787302,Idaho,28,Ohio,45,consensus,,7,Ohio -7
400787302,Idaho,28,Ohio,45,numberfire,57.5,6.5,Ohio -6.5
400787302,Idaho,28,Ohio,45,teamrankings,57,6.5,Ohio -6.5
400756894,Tulane,7,Duke,37,consensus,,13.5,Duke -13.5
400756894,Tulane,7,Duke,37,numberfire,52,5.5,Duke -5.5
400756894,Tulane,7,Duke,37,teamrankings,51.5,5,Duke -5
400764855,SMU,21,Baylor,56,consensus,,20,Baylor -20
400764855,SMU,21,Baylor,56,numberfire,70.5,36,Baylor -36
400764855,SMU,21,Baylor,56,teamrankings,71,36,Baylor -36
400763470,Western Michigan,24,Michigan State,37,consensus,,23.5,Michigan State -23.5
400763470,Western Michigan,24,Michigan State,37,numberfire,55.5,16,Michigan State -16
400763470,Western Michigan,24,Michigan State,37,teamrankings,55,16.5,Michigan State -16.5
