yards_to_goal,yards_to_goal_end,pct
31,1,0.14853328770705715
31,2,0.16891120631950998
31,4,0.1517250835541627
31,6,0.12578642838269408
31,10,0.09278729751892488
31,12,0.06943529794967662
31,13,0.05629071736860123
31,16,0.039246850125713675
31,20,0.14614682140907756
31,31,2.842524161455372e-4
31,100,8.527572484366118e-4
32,1,0.08165329205232762
32,2,0.09478271612532765
32,3,0.09548238677690087
32,4,0.08902136779196335
32,6,0.07821787563023674
32,7,0.07621877639877953
32,8,0.07361788358784124
32,9,0.06867557522792204
32,10,0.06142701321066651
32,11,0.05288372644522515
32,12,0.043981395958000206
32,14,0.02844752153918492
32,18,0.05824000936192234
32,20,0.09621345022911962
32,32,2.842524161455372e-4
32,100,8.527572484366118e-4
33,1,0.06901249402784919
33,2,0.08140644456454176
33,3,0.08349209745943593
33,5,0.0744622581909251
33,6,0.07204639094574129
33,7,0.07138142683565703
33,8,0.07000710552952524
33,9,0.06599242018232133
33,10,0.05915138900752789
33,11,0.050648428355730024
33,12,0.04192846171873973
33,14,0.027904041629787532
33,16,0.0255699891442537
33,17,0.03533014790298752
33,19,0.07889904960612347
33,20,0.09163084523427115
33,33,2.842524161455372e-4
33,100,8.527572484366118e-4
34,1,0.05332518574317081
34,2,0.0637359964981077
34,3,0.06640894713345986
34,4,0.06406338242783252
34,5,0.060946772135646705
34,6,0.059506792713592535
34,7,0.05947988329449558
34,8,0.058999191205384154
34,9,0.05634349249018872
34,10,0.051094954761406075
34,11,0.044142274644077314
34,12,0.03689631959768336
34,14,0.025443077960318236
34,15,0.022349475226421393
34,17,0.030658796263433992
34,19,0.066938617303741
34,20,0.07786136254949394
34,21,0.070818326875213
34,23,0.027377872121497154
34,26,0.002472269390253862
34,34,2.842524161455373e-4
34,100,8.527572484366118e-4
35,1,0.04862669182334992
35,2,0.058704967395445014
35,3,0.06200067543035732
35,4,0.060709977481288646
35,5,0.05846494871593955
35,6,0.0575261357508931
35,7,0.05790634284118856
35,8,0.0580884077324079
35,9,0.05637810337674123
35,10,0.05205068605409137
35,11,0.04571720506561934
35,12,0.03880058803537413
35,13,0.03255941925394077
35,14,0.02753924833306422
35,15,0.02418159594608975
35,17,0.031240585469159414
35,19,0.06657718156598368
35,20,0.07744238907426243
35,21,0.07054743127548713
35,24,0.012376879471431854
35,28,0.001423530243302605
35,35,2.842524161455373e-4
35,100,8.527572484366118e-4
36,1,0.039155499377125424
36,2,0.047631222353335376
36,3,0.05090173982004165
36,4,0.05056270306701744
36,5,0.04931047559907341
36,6,0.0489211262873517
36,7,0.049612346576856196
36,8,0.050377759449241555
36,9,0.049775011846110016
36,10,0.04687174545295664
36,11,0.041895039474977996
36,12,0.03605019645398101
36,13,0.030566866877211246
36,14,0.02598180700785562
36,15,0.022657501259336556
36,16,0.022188291579956054
36,17,0.027747760976281594
36,18,0.04116943260920318
36,19,0.057975729681151646
36,20,0.06736866976781487
36,21,0.06135507816608306
36,22,0.04326797028001423
36,23,0.02387121577174428
36,24,0.010760837055833932
36,28,0.001173315175467543
36,29,0.001030408428569023
36,31,6.832399408265753e-4
36,36,2.842524161455372e-4
36,100,8.527572484366118e-4
37,1,0.04400650407635741
37,2,0.053887591263378505
37,3,0.058191850562718195
37,4,0.058549567630055734
37,5,0.05775117250121042
37,6,0.05774070360269605
37,7,0.0589984589696785
37,8,0.06064275458283482
37,9,0.060950283454170556
37,10,0.058436833908375875
37,11,0.053007417241604925
37,12,0.04605904433908198
37,13,0.03924218797806729
37,14,0.03332627058554523
37,15,0.028777842598952327
37,16,0.027595438327135874
37,17,0.03374188182164108
37,19,0.06939950436596902
37,20,0.08047442173856338
37,24,0.012781215924727004
37,25,0.005302044862653658
37,37,2.842524161455372e-4
37,100,8.527572484366117e-4
38,1,0.035819123891591205
38,2,0.04414682279591039
38,3,0.048105134082515925
38,4,0.048900984657086026
38,5,0.0486676339672485
38,6,0.04898399698808876
38,7,0.05041050711720154
38,8,0.05238215477085908
38,9,0.05339700710430832
38,10,0.05192078353471853
38,11,0.04761588094093756
38,12,0.041644217711088165
